NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Farid Boulaya,FC Metz,France Ligue 1,RW,Silver,73,46,36,56,57,72,73
Peter Ankersen,Genoa,Italy Serie A,RB,Silver,73,78,60,66,76,63,75
Sebastian Andersson,1. FC Union Berlin,Germany 1. Bundesliga,ST,Silver,73,62,53,64,62,72,74
Roberto Torres,CA Osasuna,Spain Primera Division,RM,Silver,73,68,33,55,58,72,76
Callum Robinson,Sheffield United,England Premier League,ST,Silver,73,65,55,67,61,70,77
Gaston Brugman,Parma,Italy Serie A,CM,Silver,73,35,38,57,54,72,81
Clerc,Levante UD,Spain Primera Division,LB,Silver,73,86,64,70,75,54,68
Fabio Lucioni,Lecce,Italy Serie A,CB,Silver,73,77,70,57,73,27,73
Tom Trybull,Norwich City,England Premier League,CDM,Silver,73,66,53,65,70,71,78
Álex Martínez,Granada CF,Spain Primera Division,LB,Silver,73,69,74,74,73,46,69
Jota,Aston Villa,England Premier League,RW,Silver,73,69,72,53,72,36,76
Onel Hernández,Norwich City,England Premier League,LM,Silver,73,81,69,68,73,46,75
Paul-Georges Ntep,VfL Wolfsburg,Germany 1. Bundesliga,LM,Silver,73,75,72,69,73,42,70
Moritz Leitner,Norwich City,England Premier League,CM,Silver,73,59,71,75,69,66,73
Juan Ezequiel Cuevas,Everton de Viña del Mar,Chile Campeonato Nacional Scotiabank,RW,Silver,73,64,35,55,62,72,73
Mathias Autret,Stade Brestois 29,France Ligue 1,CAM,Silver,73,78,73,68,79,48,67
Germán,Granada CF,Spain Primera Division,CB,Silver,73,48,59,69,68,71,73
Esteban Paredes,CD Viñazur,Chile Campeonato Nacional Scotiabank,ST,Silver,73,38,48,59,47,72,82
Lasse Sobiech,1. FC Köln,Germany 1. Bundesliga,CB,Silver,73,59,75,70,70,45,69
Arnaud Souquet,Montpellier HSC,France Ligue 1,RWB,Silver,73,50,54,67,69,70,74
Loris Benito,Girondins de Bordeaux,France Ligue 1,LB,Silver,73,68,73,60,69,31,68
Sebastian Polter,1. FC Union Berlin,Germany 1. Bundesliga,ST,Silver,73,76,71,66,76,29,66
Juan Villar,CA Osasuna,Spain Primera Division,ST,Silver,73,66,44,68,70,75,68
Marco Stiepermann,Norwich City,England Premier League,CAM,Silver,73,54,59,71,68,78,79
John Boye,FC Metz,France Ligue 1,CB,Silver,73,53,70,72,70,58,69
Oier,CA Osasuna,Spain Primera Division,CDM,Silver,73,64,63,77,73,42,63
John Fleck,Sheffield United,England Premier League,CM,Silver,73,74,67,66,67,69,86
Jonathan Kodjia,Aston Villa,England Premier League,ST,Silver,73,66,51,68,71,75,69
Samuel Di Carmine,Hellas Verona,Italy Serie A,ST,Silver,73,53,36,55,54,73,67
Chris Basham,Sheffield United,England Premier League,CB,Silver,73,81,64,69,77,40,50
Fran Mérida,CA Osasuna,Spain Primera Division,CDM,Silver,73,63,72,77,71,56,67
Víctor Díaz,Granada CF,Spain Primera Division,RB,Silver,73,75,69,70,75,25,59
Mapou Yanga-Mbiwa,Olympique Lyonnais,France Ligue 1,CB,Silver,73,68,61,66,73,72,78
Mario Vrančić,Norwich City,England Premier League,CM,Silver,73,34,40,48,53,76,69
Luke Freeman,Sheffield United,England Premier League,CAM,Silver,73,75,35,67,69,71,60
Juan Insaurralde,CD Viñazur,Chile Campeonato Nacional Scotiabank,CB,Silver,73,68,53,71,72,72,61
Mauricio Pinilla,Coquimbo Unido,Chile Campeonato Nacional Scotiabank,ST,Silver,73,48,33,41,52,73,70
Vincent Pajot,Angers SCO,France Ligue 1,CM,Silver,73,77,64,65,71,70,72
Nicola Murru,Sampdoria,Italy Serie A,LB,Silver,73,34,72,71,67,72,73
Pablo Chavarría,RCD Mallorca,Spain Primera Division,ST,Silver,73,77,69,70,75,32,53
Giovanni Di Lorenzo,Napoli,Italy Serie A,RM,Silver,73,59,69,70,75,66,74
Samuel Grandsir,Stade Brestois 29,France Ligue 1,RM,Silver,73,68,71,73,74,43,53
Luca Rossettini,Lecce,Italy Serie A,CB,Silver,73,68,69,75,76,51,59
Vesga,Athletic Club de Bilbao,Spain Primera Division,CM,Silver,73,78,73,65,74,33,62
Jordon Ibe,Bournemouth,England Premier League,RM,Silver,73,68,64,72,74,65,70
Insua,FC Schalke 04,Germany 1. Bundesliga,CB,Silver,73,31,36,50,41,74,70
Anastasios Donis,Stade de Reims,France Ligue 1,ST,Silver,73,49,72,62,67,30,83
Vukašin Jovanović,Girondins de Bordeaux,France Ligue 1,CB,Silver,73,56,72,72,72,43,69
Jérémy Pied,LOSC Lille,France Ligue 1,RB,Silver,73,66,57,63,67,71,77
Adrien Hunou,Stade Rennais,France Ligue 1,ST,Silver,73,82,69,62,76,27,60
Maximilian Mittelstädt,Hertha BSC,Germany 1. Bundesliga,LM,Silver,73,33,39,59,49,73,77
Hervías,Real Valladolid,Spain Primera Division,RM,Silver,73,62,36,59,63,72,72
Chris Mepham,Bournemouth,England Premier League,CB,Silver,73,89,60,65,80,31,46
Kévin Monnet-Paquet,AS Saint-Étienne,France Ligue 1,LM,Silver,73,74,54,61,70,72,76
Isaac Success,Watford,England Premier League,ST,Silver,73,65,63,73,72,67,78
Dimitri Liénard,RC Strasbourg,France Ligue 1,CM,Silver,73,76,58,65,67,70,78
Rachid Alioui,Angers SCO,France Ligue 1,ST,Silver,73,53,55,67,65,72,72
Jakob Johansson,Stade Rennais,France Ligue 1,CM,Silver,73,66,64,71,73,71,77
Alexandru Maxim,1. FSV Mainz 05,Germany 1. Bundesliga,CAM,Silver,73,81,74,67,73,35,59
Abdoulaye Bamba,Angers SCO,France Ligue 1,RB,Silver,73,58,52,66,66,76,71
Brahim,Real Madrid,Spain Primera Division,LW,Silver,73,64,26,51,62,74,68
Goran Pandev,Genoa,Italy Serie A,ST,Silver,73,44,35,47,57,71,77
Daniel Amartey,Leicester City,England Premier League,RB,Silver,73,56,71,74,75,57,63
Ante Ćorić,Roma,Italy Serie A,CAM,Silver,73,78,70,59,70,28,70
Robin Koch,SC Freiburg,Germany 1. Bundesliga,CDM,Silver,73,63,68,68,74,55,64
Bram Nuytinck,Udinese,Italy Serie A,CB,Silver,73,68,52,59,61,72,72
Gianluca Lapadula,Lecce,Italy Serie A,ST,Silver,73,85,57,69,74,69,71
Gabriel,LOSC Lille,France Ligue 1,CB,Silver,73,53,35,56,50,70,79
Erik Pieters,Burnley,England Premier League,LB,Silver,73,65,67,72,76,49,59
Lyanco,Torino,Italy Serie A,CB,Silver,73,70,44,57,64,72,73
Marco Russ,Eintracht Frankfurt,Germany 1. Bundesliga,CB,Silver,73,67,61,68,72,71,73
Oliver Fink,Fortuna Düsseldorf,Germany 1. Bundesliga,CM,Silver,73,76,73,69,74,36,62
Vincent Manceau,Angers SCO,France Ligue 1,RB,Silver,73,62,74,58,69,39,78
Loïck Landre,Nîmes Olympique,France Ligue 1,CB,Silver,73,64,71,61,67,32,69
Gaël Kakuta,Amiens SC,France Ligue 1,RM,Silver,73,70,72,65,75,27,68
Sofiane Alakouch,Nîmes Olympique,France Ligue 1,RB,Silver,73,81,70,60,75,24,67
Oumar Niasse,Everton,England Premier League,ST,Silver,73,75,54,67,67,70,75
Ibrahima Mbaye,Bologna,Italy Serie A,RB,Silver,73,35,25,46,36,74,74
Christian Fuchs,Leicester City,England Premier League,LB,Silver,73,85,59,66,78,44,51
Federico Barba,Real Valladolid,Spain Primera Division,CB,Silver,73,90,67,64,77,29,65
Gabriel Silva,AS Saint-Étienne,France Ligue 1,LB,Silver,73,67,53,64,70,74,67
Timothy Fosu-Mensah,Manchester United,England Premier League,RB,Silver,73,73,40,65,66,72,83
Anthony Ujah,1. FC Union Berlin,Germany 1. Bundesliga,ST,Silver,73,52,35,50,56,73,74
Levin Öztunalı,1. FSV Mainz 05,Germany 1. Bundesliga,RM,Silver,73,74,72,63,71,36,72
Edoardo Goldaniga,Genoa,Italy Serie A,CB,Silver,73,63,61,72,72,74,64
Luca Ceppitelli,Cagliari,Italy Serie A,CB,Silver,73,63,73,64,69,51,75
Christian Gentner,1. FC Union Berlin,Germany 1. Bundesliga,CM,Silver,73,71,60,67,70,70,71
Mehdi Abeid,FC Nantes,France Ligue 1,CDM,Silver,73,86,41,50,63,68,66
Moi Gómez,Villarreal CF,Spain Primera Division,CM,Silver,73,74,68,52,71,38,71
Bartosz Bereszyński,Sampdoria,Italy Serie A,RB,Silver,73,75,53,66,71,72,65
Steven Skrzybski,FC Schalke 04,Germany 1. Bundesliga,ST,Silver,73,70,63,70,78,39,53
Tristan Dingomé,Stade de Reims,France Ligue 1,CAM,Silver,73,86,70,66,76,37,55
Sebastian Prödl,Watford,England Premier League,CB,Silver,73,66,63,72,71,43,61
Marcel Sobottka,Fortuna Düsseldorf,Germany 1. Bundesliga,CDM,Silver,73,60,24,48,39,72,70
Caiuby,FC Augsburg,Germany 1. Bundesliga,LM,Silver,73,71,67,48,67,41,67
Marco Richter,FC Augsburg,Germany 1. Bundesliga,RM,Silver,73,51,35,46,54,72,79
Berat Djimsiti,Atalanta,Italy Serie A,CB,Silver,73,79,74,63,75,30,62
Jérémy Gélin,Stade Rennais,France Ligue 1,CB,Silver,73,73,37,49,57,73,72
Antonio Di Gaudio,Hellas Verona,Italy Serie A,LW,Silver,73,62,50,58,52,69,75
Vincent Laurini,Parma,Italy Serie A,RB,Silver,73,69,54,62,61,69,76
Kelechi Iheanacho,Leicester City,England Premier League,ST,Silver,73,81,68,68,74,32,63
Bakaye Dibassy,Amiens SC,France Ligue 1,LB,Silver,73,77,63,67,74,34,62
Rémi Walter,OGC Nice,France Ligue 1,CM,Silver,73,66,62,65,62,72,71
Jérôme Gondorf,SC Freiburg,Germany 1. Bundesliga,CM,Silver,73,67,41,48,59,72,71
Federico Peluso,Sassuolo,Italy Serie A,CB,Silver,73,57,65,75,70,67,62
Mathieu Cafaro,Stade de Reims,France Ligue 1,LM,Silver,73,68,49,51,57,70,79
Alexis Blin,Amiens SC,France Ligue 1,CDM,Silver,73,62,59,62,61,71,78
Matěj Vydra,Burnley,England Premier League,CAM,Silver,73,81,42,64,70,68,78
Bruno Alves,Parma,Italy Serie A,CB,Silver,73,83,41,60,73,70,64
Joel Ward,Crystal Palace,England Premier League,RB,Silver,73,65,38,51,53,70,79
Fabio Pisacane,Cagliari,Italy Serie A,CB,Silver,73,84,72,63,72,35,68
Mariusz Stępiński,Hellas Verona,Italy Serie A,ST,Silver,73,86,68,64,71,31,72
Jonjoe Kenny,FC Schalke 04,Germany 1. Bundesliga,RB,Silver,73,76,45,63,70,69,63
Etxeita,Getafe CF,Spain Primera Division,CB,Silver,73,73,51,67,71,69,66
Pedro Porro,Real Valladolid,Spain Primera Division,RWB,Silver,73,73,59,69,73,64,69
Raul García,Getafe CF,Spain Primera Division,LB,Silver,73,81,62,67,70,70,81
Marc Stendera,Eintracht Frankfurt,Germany 1. Bundesliga,CM,Silver,73,52,55,55,55,69,84
Dawid Kownacki,Fortuna Düsseldorf,Germany 1. Bundesliga,ST,Silver,73,68,72,65,66,28,68
David Juncà,RC Celta de Vigo,Spain Primera Division,LB,Silver,73,53,33,43,46,72,78
Bigas,SD Eibar,Spain Primera Division,CB,Silver,73,86,60,61,76,26,55
Marc Navarro,CD Leganés,Spain Primera Division,RB,Silver,73,90,40,61,71,68,69
Óscar,CD Leganés,Spain Primera Division,CAM,Silver,73,81,49,63,70,68,79
Ezequiel Schelotto,Brighton & Hove Albion,England Premier League,RB,Silver,73,87,68,61,77,29,42
Suk Hyun Jun,Stade de Reims,France Ligue 1,ST,Silver,73,67,72,62,71,32,68
Yaya Sanogo,Toulouse FC,France Ligue 1,ST,Silver,73,86,62,64,75,57,57
Kenan Karaman,Fortuna Düsseldorf,Germany 1. Bundesliga,LM,Silver,73,69,44,66,66,69,69
Faitout Maouassa,Stade Rennais,France Ligue 1,LB,Silver,73,89,69,63,74,37,51
Niko Gießelmann,Fortuna Düsseldorf,Germany 1. Bundesliga,LB,Silver,73,63,56,68,71,67,66
Ryan Bennett,Wolverhampton Wanderers,England Premier League,CB,Silver,73,71,61,69,77,63,64
Maxime Poundjé,Girondins de Bordeaux,France Ligue 1,LB,Silver,73,65,52,63,71,70,71
Kalifa Coulibaly,FC Nantes,France Ligue 1,ST,Silver,73,71,69,56,70,37,77
Stiven Mendoza,Amiens SC,France Ligue 1,LM,Silver,73,59,48,54,62,69,84
Patric,Lazio,Italy Serie A,CB,Silver,73,86,71,57,75,27,62
Davide Biraschi,Genoa,Italy Serie A,CB,Silver,73,79,66,72,73,52,60
Mitchell Dijks,Bologna,Italy Serie A,LB,Silver,73,81,63,69,74,45,62
Kevin Long,Burnley,England Premier League,CB,Silver,73,67,55,65,73,70,66
Andrei Girotto,FC Nantes,France Ligue 1,CDM,Silver,73,85,67,61,76,27,66
Johannes Eggestein,Werder Bremen,Germany 1. Bundesliga,RW,Silver,73,89,66,63,75,34,48
Samir,Udinese,Italy Serie A,CB,Silver,73,57,40,49,48,71,78
Charlie Daniels,Bournemouth,England Premier League,LB,Silver,73,45,35,46,52,73,77
Aihen Muñoz,Real Sociedad,Spain Primera Division,LB,Silver,72,81,43,64,71,66,75
Tudor Băluță,Brighton & Hove Albion,England Premier League,CDM,Silver,72,75,69,67,76,36,59
Jawad El Yamiq,Genoa,Italy Serie A,CB,Silver,72,75,67,69,70,68,81
Colin Dagba,Paris Saint-Germain,France Ligue 1,RB,Silver,72,68,66,68,75,41,65
Denis Vavro,Lazio,Italy Serie A,CB,Silver,72,87,73,60,69,30,77
Max Aarons,Norwich City,England Premier League,RB,Silver,72,84,70,52,68,24,74
Andreas Skov Olsen,Bologna,Italy Serie A,RW,Silver,72,91,68,62,74,33,66
Szymon Żurkowski,Fiorentina,Italy Serie A,CM,Silver,72,74,60,68,77,49,57
Christoph Zimmermann,Norwich City,England Premier League,CB,Silver,72,78,72,61,72,37,68
Christopher Antwi-Adjej,SC Paderborn 07,Germany 1. Bundesliga,LM,Silver,72,83,72,62,71,27,68
Sebastian Vasiliadis,SC Paderborn 07,Germany 1. Bundesliga,CM,Silver,72,66,32,61,61,71,74
Nacho Vidal,CA Osasuna,Spain Primera Division,RB,Silver,72,77,68,68,77,39,63
Wesley Lautoa,Dijon FCO,France Ligue 1,CB,Silver,72,76,73,67,77,35,65
Alexis Claude Maurice,OGC Nice,France Ligue 1,LM,Silver,72,66,42,62,63,71,77
Jerdy Schouten,Bologna,Italy Serie A,CDM,Silver,72,74,60,63,69,69,71
Nana Ampomah,Fortuna Düsseldorf,Germany 1. Bundesliga,LM,Silver,72,67,74,52,70,21,64
Aleksandar Sedlar,RCD Mallorca,Spain Primera Division,CB,Silver,72,72,71,48,69,25,76
Domingos Duarte,Granada CF,Spain Primera Division,CB,Silver,72,79,46,57,65,69,72
Bernard Tekpetey,Fortuna Düsseldorf,Germany 1. Bundesliga,RM,Silver,72,67,71,50,70,29,76
Alphonso Davies,Bayern München,Germany 1. Bundesliga,LM,Silver,72,80,61,67,78,34,58
Roland Sallai,SC Freiburg,Germany 1. Bundesliga,LM,Silver,72,69,71,53,67,27,60
Léo Duarte,Milan,Italy Serie A,CB,Silver,72,77,59,67,72,68,69
Fikayo Tomori,Chelsea,England Premier League,CB,Silver,72,67,57,71,72,68,64
Daniel James,Manchester United,England Premier League,LM,Silver,72,72,66,68,70,66,75
Jamal Lewis,Norwich City,England Premier League,LB,Silver,72,76,64,70,73,39,62
Florian Ayé,Brescia,Italy Serie A,ST,Silver,72,74,52,55,64,69,77
Marvin Gakpa,FC Metz,France Ligue 1,CM,Silver,72,90,63,61,70,65,79
Jorge Sáenz,RC Celta de Vigo,Spain Primera Division,CB,Silver,72,80,50,64,69,69,71
Adrián Marín,Deportivo Alavés,Spain Primera Division,LB,Silver,72,66,36,52,56,72,72
Germán Lanaro,Universidad Católica,Chile Campeonato Nacional Scotiabank,CB,Silver,72,70,72,63,65,32,66
Sofyan Amrabat,Hellas Verona,Italy Serie A,CM,Silver,72,77,41,63,64,70,75
Jonathan Cafú,Girondins de Bordeaux,France Ligue 1,RW,Silver,72,61,32,47,59,70,78
Efthymios Koulouris,Toulouse FC,France Ligue 1,ST,Silver,72,91,57,66,75,40,49
Carlos Gruezo,FC Augsburg,Germany 1. Bundesliga,CDM,Silver,72,77,73,62,76,32,61
Jaïro Riedewald,Crystal Palace,England Premier League,CB,Silver,72,49,46,47,50,71,80
Daley Sinkgraven,Bayer 04 Leverkusen,Germany 1. Bundesliga,LB,Silver,72,84,71,64,73,31,66
Sebastian Schonlau,SC Paderborn 07,Germany 1. Bundesliga,CB,Silver,72,78,62,70,79,44,63
Jeremy Toljan,Sassuolo,Italy Serie A,RB,Silver,72,77,71,57,66,38,72
Sebastián Sáez,Universidad Católica,Chile Campeonato Nacional Scotiabank,ST,Silver,72,69,60,71,74,64,66
Sven Michel,SC Paderborn 07,Germany 1. Bundesliga,ST,Silver,72,78,64,66,78,34,52
Brandon Thomas,CA Osasuna,Spain Primera Division,ST,Silver,72,87,72,65,68,31,72
Ramón Azeez,Granada CF,Spain Primera Division,CDM,Silver,72,77,68,70,72,59,69
Opa Nguette,FC Metz,France Ligue 1,LW,Silver,72,89,64,67,76,29,56
Ben Osborn,Sheffield United,England Premier League,LWB,Silver,72,57,40,45,53,73,78
Cristian Benavente,FC Nantes,France Ligue 1,CAM,Silver,72,63,58,54,57,71,79
Sam Byram,Norwich City,England Premier League,RB,Silver,72,79,74,70,76,42,56
Iván López,Levante UD,Spain Primera Division,RB,Silver,72,49,41,69,74,65,58
Kenny McLean,Norwich City,England Premier League,CM,Silver,72,32,52,62,60,71,76
Robert Žulj,TSG 1899 Hoffenheim,Germany 1. Bundesliga,CAM,Silver,72,69,69,72,70,57,71
Muhamed Bešić,Sheffield United,England Premier League,CM,Silver,72,71,64,73,71,59,70
Michael Hector,Chelsea,England Premier League,CB,Silver,72,36,74,66,66,32,72
Yoann Court,Stade Brestois 29,France Ligue 1,LM,Silver,72,41,66,72,67,70,71
Dani Rodríguez,RCD Mallorca,Spain Primera Division,CM,Silver,72,64,65,74,73,35,56
Manuel Schmiedebach,1. FC Union Berlin,Germany 1. Bundesliga,CDM,Silver,72,64,54,68,71,73,76
Panagiotis Tachtsidis,Lecce,Italy Serie A,CM,Silver,72,72,67,67,71,60,72
Ante Budimir,RCD Mallorca,Spain Primera Division,ST,Silver,72,56,71,58,70,48,70
Roberto Gutiérrez,Palestino,Chile Campeonato Nacional Scotiabank,ST,Silver,72,71,68,59,72,36,71
David McGoldrick,Sheffield United,England Premier League,ST,Silver,72,78,67,69,77,32,49
Adrián Ramos,Granada CF,Spain Primera Division,ST,Silver,72,56,76,71,73,37,65
Julio Barroso,CD Viñazur,Chile Campeonato Nacional Scotiabank,CB,Silver,72,76,31,64,67,68,76
Jean Beausejour,Deportes Ñuñoa,Chile Campeonato Nacional Scotiabank,LB,Silver,72,77,64,71,73,61,69
Ken Reichel,1. FC Union Berlin,Germany 1. Bundesliga,LB,Silver,72,68,32,67,65,71,67
Giampaolo Pazzini,Hellas Verona,Italy Serie A,ST,Silver,72,73,64,71,73,56,67
Edimilson Fernandes,1. FSV Mainz 05,Germany 1. Bundesliga,CM,Silver,72,77,67,71,74,48,52
Aaron Leya Iseka,Toulouse FC,France Ligue 1,ST,Silver,72,63,33,49,57,70,80
Mattia Bani,Bologna,Italy Serie A,CB,Silver,72,72,49,61,69,71,70
Fodé Ballo-Touré,AS Monaco,France Ligue 1,LB,Silver,72,84,69,68,79,38,49
Jordan Marié,Dijon FCO,France Ligue 1,CM,Silver,72,73,41,58,65,72,69
Serhou Guirassy,Amiens SC,France Ligue 1,ST,Silver,72,79,56,62,71,69,73
Fouad Chafik,Dijon FCO,France Ligue 1,RB,Silver,72,57,55,71,70,64,63
Molla Wagué,FC Nantes,France Ligue 1,CB,Silver,72,51,33,43,43,76,66
Juan Ferney Otero,Amiens SC,France Ligue 1,RM,Silver,72,51,58,66,68,75,72
Alessandro Murgia,Spal,Italy Serie A,CM,Silver,72,78,62,66,74,65,69
Reiss Nelson,Arsenal,England Premier League,RW,Silver,72,87,70,68,72,36,66
Assane Dioussé,AS Saint-Étienne,France Ligue 1,CM,Silver,72,51,55,60,59,74,70
Stipe Perica,Udinese,Italy Serie A,ST,Silver,72,73,72,72,73,56,66
Lucas Höler,SC Freiburg,Germany 1. Bundesliga,ST,Silver,72,68,53,60,64,73,74
Arturo Calabresi,Bologna,Italy Serie A,CB,Silver,72,65,72,65,71,40,58
Ken Sema,Udinese,Italy Serie A,LM,Silver,72,53,47,65,67,70,71
Chadrac Akolo,Amiens SC,France Ligue 1,RM,Silver,72,67,71,58,67,34,68
Stefan Posch,TSG 1899 Hoffenheim,Germany 1. Bundesliga,CB,Silver,72,66,58,72,72,70,67
Christophe Jallet,Amiens SC,France Ligue 1,RB,Silver,72,63,65,68,67,60,60
Sergio Floccari,Spal,Italy Serie A,ST,Silver,72,64,61,70,72,69,70
Alex Alegría,RCD Mallorca,Spain Primera Division,ST,Silver,72,84,63,64,79,47,53
Ronaldo Vieira,Sampdoria,Italy Serie A,CDM,Silver,72,63,71,58,68,43,66
Matthias Zimmermann,Fortuna Düsseldorf,Germany 1. Bundesliga,RB,Silver,72,85,76,56,74,35,54
Elvis Rexhbeçaj,VfL Wolfsburg,Germany 1. Bundesliga,CM,Silver,72,85,76,56,74,35,54
Bassem Srarfi,OGC Nice,France Ligue 1,RW,Silver,72,50,39,51,60,74,74
Matt Targett,Aston Villa,England Premier League,LB,Silver,72,79,69,61,70,37,70
Manu Morlanes,Villarreal CF,Spain Primera Division,CM,Silver,72,69,48,61,66,67,71
Alberto Cerri,Cagliari,Italy Serie A,ST,Silver,72,68,59,70,68,69,69
Júlio Tavares,Dijon FCO,France Ligue 1,ST,Silver,72,49,36,57,60,74,79
Marc Cardona,CA Osasuna,Spain Primera Division,ST,Silver,72,73,67,45,57,33,80
Moussa Doumbia,Stade de Reims,France Ligue 1,LM,Silver,72,76,69,54,70,22,66
Cyril Théréau,Fiorentina,Italy Serie A,LW,Silver,72,74,59,66,69,67,69
Federico Mattiello,Cagliari,Italy Serie A,RM,Silver,72,78,66,66,74,37,63
Alfredo Morales,Fortuna Düsseldorf,Germany 1. Bundesliga,CM,Silver,72,92,64,63,74,43,64
James Léa Siliki,Stade Rennais,France Ligue 1,CM,Silver,72,82,62,67,73,34,56
Jordan Torunarigha,Hertha BSC,Germany 1. Bundesliga,CB,Silver,72,72,60,68,66,67,63
David Costas,RC Celta de Vigo,Spain Primera Division,CB,Silver,72,86,61,60,76,30,43
Manuel Iturra,Deportes Iquique,Chile Campeonato Nacional Scotiabank,CDM,Silver,72,61,51,50,59,69,78
Francesco Vicari,Spal,Italy Serie A,CB,Silver,72,71,33,45,59,69,75
Corentin Jean,Toulouse FC,France Ligue 1,RM,Silver,72,81,64,65,76,30,55
André Hoffmann,Fortuna Düsseldorf,Germany 1. Bundesliga,CB,Silver,72,66,72,55,65,26,73
Thiago Cionek,Spal,Italy Serie A,CB,Silver,72,78,64,66,71,66,75
Steven Moreira,Toulouse FC,France Ligue 1,RB,Silver,72,80,70,55,70,22,50
Julian Schieber,FC Augsburg,Germany 1. Bundesliga,ST,Silver,72,84,72,67,71,32,64
Erik Thommy,Fortuna Düsseldorf,Germany 1. Bundesliga,LM,Silver,72,82,55,69,78,51,52
Jan Morávek,FC Augsburg,Germany 1. Bundesliga,CM,Silver,72,84,63,60,76,32,63
Renaud Ripart,Nîmes Olympique,France Ligue 1,ST,Silver,72,74,66,74,74,47,48
Fábio,FC Nantes,France Ligue 1,RB,Silver,72,85,61,60,78,28,49
Ji Dong Won,1. FSV Mainz 05,Germany 1. Bundesliga,CF,Silver,72,77,61,66,72,38,62
Rober Ibáñez,CA Osasuna,Spain Primera Division,RM,Silver,72,72,57,66,72,70,69
Javairô Dilrosun,Hertha BSC,Germany 1. Bundesliga,LM,Silver,72,64,22,42,41,70,81
Edgar Barreto,Sampdoria,Italy Serie A,CM,Silver,72,72,55,67,69,68,72
Diego Farías,Lecce,Italy Serie A,ST,Silver,72,85,72,66,71,36,61
Yoric Ravet,SC Freiburg,Germany 1. Bundesliga,RM,Silver,72,84,58,57,73,68,72
Jérémie Boga,Sassuolo,Italy Serie A,LM,Silver,72,83,42,58,67,67,72
Alexandre Mendy,Stade Brestois 29,France Ligue 1,ST,Silver,72,79,36,63,70,67,70
Enock Kwateng,Girondins de Bordeaux,France Ligue 1,RB,Silver,72,52,33,52,57,71,74
Didier Ndong,Dijon FCO,France Ligue 1,CDM,Silver,72,67,72,59,68,25,66
Sergi Palencia,AS Saint-Étienne,France Ligue 1,RB,Silver,72,54,35,45,49,72,71
Luca Mazzitelli,Sassuolo,Italy Serie A,CM,Silver,72,75,62,63,74,42,64
Alessandro Bastoni,Inter,Italy Serie A,CB,Silver,72,77,67,62,76,30,62
Phil Bardsley,Burnley,England Premier League,RB,Silver,72,58,31,53,53,73,72
Anthony Caci,RC Strasbourg,France Ligue 1,CB,Silver,72,65,39,60,60,71,76
Boubakary Soumaré,LOSC Lille,France Ligue 1,CM,Silver,72,52,28,41,52,71,78
Mohamed Fares,Spal,Italy Serie A,LM,Silver,72,76,69,65,75,22,62
Mike Frantz,SC Freiburg,Germany 1. Bundesliga,CM,Silver,72,72,70,52,64,48,74
Saîf-Eddine Khaoui,Olympique de Marseille,France Ligue 1,CAM,Silver,72,81,65,64,70,45,74
Luca Siligardi,Parma,Italy Serie A,RW,Silver,72,62,64,67,72,62,74
Sebastiano Luperto,Napoli,Italy Serie A,CB,Silver,72,70,68,67,70,65,71
Antonin Bobichon,Nîmes Olympique,France Ligue 1,CM,Silver,72,62,50,60,54,68,77
Fabrizio Cacciatore,Cagliari,Italy Serie A,RB,Silver,72,85,65,66,76,28,52
Claudio Beauvue,RC Celta de Vigo,Spain Primera Division,ST,Silver,72,78,43,59,71,66,76
Nicolas Höfler,SC Freiburg,Germany 1. Bundesliga,CDM,Silver,72,69,62,68,70,46,68
Markus Suttner,Fortuna Düsseldorf,Germany 1. Bundesliga,LB,Silver,72,54,51,74,70,66,60
Sean Longstaff,Newcastle United,England Premier League,CM,Silver,72,67,51,64,71,66,73
Diego Lainez,Real Betis Balompié,Spain Primera Division,RM,Silver,72,75,36,60,68,68,67
Lionel Carole,RC Strasbourg,France Ligue 1,LWB,Silver,72,72,68,48,69,27,76
Rene Krhin,FC Nantes,France Ligue 1,CDM,Silver,72,50,39,47,43,70,83
Mickaël Cuisance,Bayern München,Germany 1. Bundesliga,CM,Silver,72,67,34,40,50,69,74
Felipe Curcio,Brescia,Italy Serie A,LB,Silver,71,74,56,61,69,66,75
Julian Chabot,Sampdoria,Italy Serie A,CB,Silver,71,86,57,64,71,66,81
Lumor Agbenyenu,RCD Mallorca,Spain Primera Division,LB,Silver,71,61,49,62,60,71,80
Yevhen Shakhov,Lecce,Italy Serie A,CM,Silver,71,69,43,65,67,68,70
Gonzalo Maroni,Sampdoria,Italy Serie A,CAM,Silver,71,44,29,46,44,72,69
Taiwo Awoniyi,1. FSV Mainz 05,Germany 1. Bundesliga,ST,Silver,71,45,71,55,64,35,70
Fabien Centonze,FC Metz,France Ligue 1,RB,Silver,71,81,67,65,71,36,61
Lazo,Getafe CF,Spain Primera Division,LM,Silver,71,81,56,69,70,66,67
Victorien Angban,FC Metz,France Ligue 1,CM,Silver,71,84,71,50,67,26,67
Matheus Pereira,Dijon FCO,France Ligue 1,CAM,Silver,71,70,69,63,68,26,69
Jonathan Benítez,Coquimbo Unido,Chile Campeonato Nacional Scotiabank,LW,Silver,71,66,48,58,57,67,80
Grischa Prömel,1. FC Union Berlin,Germany 1. Bundesliga,CM,Silver,71,90,67,62,72,28,59
